Title,Progress,Type,MAL_Score,AniList_Score,Genres,Notes,MAL_URL,AniList_URL,Current_MAL_Score,Current_AniList_Score,Average_Score
Touring After the Apocalypse,0/12,TV,6.45,7.2,"Adventure, Sci-Fi, Slice of Life",,https://myanimelist.net/anime/61072,https://anilist.co/anime/186920,6.79,"{'arithmeticGeometricMean': 6.94882737688707, 'arithmeticMean': 6.95297124304267, 'median': 6.849545454545455}",6.79
given The Movie: To the Sea,0/1,Movie,6.43,8.2,"Boys Love, Drama, Music, Romance",,https://myanimelist.net/anime/58222,https://anilist.co/anime/175199,8.48,"{'arithmeticGeometricMean': 8.307953218235875, 'arithmeticMean': 8.310453308596166, 'median': 8.344545454545454}",8.48
Dawang Raoming 2,0/12,ONA,6.42,7.3,"Action, Fantasy",,https://myanimelist.net/anime/51898,https://anilist.co/anime/146543,"{'arithmeticGeometricMean': 7.663308175815342, 'arithmeticMean': 7.669521799628942, 'median': 7.820454545454545}","{'arithmeticGeometricMean': 7.663308175815342, 'arithmeticMean': 7.669521799628942, 'median': 7.820454545454545}",
"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",0/12,TV,6.42,6.62,"6.8, Comedy, Fantasy",,https://myanimelist.net/anime/50421,https://anilist.co/anime/141879,6.72,"{'arithmeticGeometricMean': 6.948046439268732, 'arithmeticMean': 6.954953153988868, 'median': 6.904545454545454}",6.72
Otherworld Harem Story,0/4,OVA,6.36,5.9,"Ecchi, Fantasy, Harem",,https://myanimelist.net/anime/44524/Isekai_Meikyuu_de_Harem_wo,FAILED_LOOKUP,,,
Kakuriyo -Bed & Breakfast for Spirits- 2,0/12,TV,6.36,7.7,"Demons, Fantasy, Slice of Life, Supernatural",,https://myanimelist.net/anime/58772,https://anilist.co/anime/177271,6.83,"{'arithmeticGeometricMean': 7.007426368810872, 'arithmeticMean': 7.021993970315399, 'median': 7.076066790352504}",6.83
A Day Before Us ZERO,0/19,ONA,6.35,7.4,"Drama, Romance, Slice of Life",,https://myanimelist.net/anime/42481,https://anilist.co/anime/104372,"{'arithmeticGeometricMean': 7.3479248238363235, 'arithmeticMean': 7.352407699443413, 'median': 7.258812615955473}","{'arithmeticGeometricMean': 7.3479248238363235, 'arithmeticMean': 7.352407699443413, 'median': 7.258812615955473}",
A Day Before Us 2nd Season,0/15,ONA,6.35,7.5,"Romance, Slice of Life",,https://myanimelist.net/anime/42629,https://anilist.co/anime/104371,7.37,"{'arithmeticGeometricMean': 7.5693214869386365, 'arithmeticMean': 7.573576066790353, 'median': 7.578849721706865}",7.37
Kingdom Season 6,0/13,TV,6.34,8.4,"Action, Historical, Military, Seinen, War",,https://myanimelist.net/anime/61517,https://anilist.co/anime/190840,"{'arithmeticGeometricMean': 8.447297275811819, 'arithmeticMean': 8.45083116883117, 'median': 8.616181818181818}","{'arithmeticGeometricMean': 8.447297275811819, 'arithmeticMean': 8.45083116883117, 'median': 8.616181818181818}",
Farmagia,0/12,TV,6.34,5.8,"Action, Adventure, Fantasy",,https://myanimelist.net/anime/59113,https://anilist.co/anime/178312,5.64,"{'arithmeticGeometricMean': 5.532175598182348, 'arithmeticMean': 5.569016285302, 'median': 5.545454545454546}",5.64
Love Live! Nijigasaki High School Idol Club: NEXT SKY,0/1,OVA,6.33,7.6,"Music, School, Slice of Life, Idols",,https://myanimelist.net/anime/53671,https://anilist.co/anime/157654,7.29,"{'arithmeticGeometricMean': 7.23480927220677, 'arithmeticMean': 7.240691609977325, 'median': 7.178}",7.29
9-nine- Ruler's Crown,0/13,TV,6.33,5.9,"Ecchi, Fantasy, Harem, Romance, School",,https://myanimelist.net/anime/58957,https://anilist.co/anime/177761,5.81,"{'arithmeticGeometricMean': 5.729676016965061, 'arithmeticMean': 5.75851152928704, 'median': 5.666}",5.81
Plus-sized Misadventures in Love!,0/12,TV,6.29,7.5,"Comedy, Romance, Slice of Life",,https://myanimelist.net/anime/57189,https://anilist.co/anime/170936,6.69,"{'arithmeticGeometricMean': 6.4637669839772975, 'arithmeticMean': 6.485888682745826, 'median': 6.622727272727273}",6.69
"Boku no Imouto wa """"Osaka Okan""""",0/12,TV Short,6.28,6.3,"Comedy, Slice of Life",,https://myanimelist.net/anime/16405,https://anilist.co/anime/16405,5.73,"{'arithmeticGeometricMean': 5.686361059418311, 'arithmeticMean': 5.712070037105752, 'median': 5.523181818181818}",5.73
SI-VIS: The Sound of Heroes,0/24,TV,6.25,TBD,"Action, Fantasy, Music","""""Saikyou no Shienshoku 'Wajutsushi' de Aru Ore wa Sekai Saikyou Clan ni Shitagaeru N desu ga""""?",https://myanimelist.net/anime/62126,https://anilist.co/anime/196553,5.99,"{'arithmeticGeometricMean': 5.910490512507584, 'arithmeticMean': 5.956682127396413, 'median': 5.959591836734694}",5.99
Princess Lover! Picture Drama,0/6,Special,6.16,5.9,"Comedy, Ecchi, Harem",,https://myanimelist.net/anime/7468,https://anilist.co/anime/7468,6.18,6.2,6.19
Agate,0/15,ONA,6.15,6.5,"Action, Fantasy, Magic",,https://myanimelist.net/anime/57575,https://anilist.co/anime/174702,6.76,"{'arithmeticGeometricMean': 6.514768613656435, 'arithmeticMean': 6.525863945578231, 'median': 6.41}",6.76
Princess Lover!: Magical Knight Maria-chan,0/6,Special,6.12,5.9,"Comedy, Ecchi, Magic, Parody",,https://myanimelist.net/anime/8231,https://anilist.co/anime/8231,5.68,5.7,5.69
Girls und Panzer: Motto Love Love Sakusen desu!,0/4,Movie,6.03,7.8,"Comedy, Military",,https://myanimelist.net/anime/61227,https://anilist.co/anime/188034,"{'arithmeticGeometricMean': 8.272727272727273, 'arithmeticMean': 8.272727272727273, 'median': 8.272727272727273}","{'arithmeticGeometricMean': 8.272727272727273, 'arithmeticMean': 8.272727272727273, 'median': 8.272727272727273}",
Love Between Fairy and Devil,0/12,ONA,6.02,7.9,"Fantasy, Magic, Romance",,https://myanimelist.net/anime/51280,https://anilist.co/anime/146565,7.24,"{'arithmeticGeometricMean': 7.428571428571428, 'arithmeticMean': 7.428571428571428, 'median': 7.428571428571428}",7.24
Sacred Seven: Wings of the Silver Moon,0/1,Movie,5.88,6.4,"Action, Sci-Fi, Super Power",,https://myanimelist.net/anime/11635,https://anilist.co/anime/11635,6.62,"{'arithmeticGeometricMean': 6.4454712517962, 'arithmeticMean': 6.450750231910946, 'median': 6.484}",6.62
