"Title","Progress","Type","MAL_Score","AniList_Score","Genres","Notes","MAL_URL","AniList_URL","Current_MAL_Score","Current_AniList_Score","Average_Score"
"A Sister's All You Need.","0/12","TV","7.88","7.4","Comedy, Drama, Romance, Ecchi","[Matched: A Sister's All You Need.]","https://myanimelist.net/anime/35413","https://anilist.co/anime/98596","","",""
"Tokyo Ravens","0/24","TV","7.87","7.5","Action, Comedy, Magic, Romance, School, Shounen, Supernatural","[Matched: Tokyo Ravens]","https://myanimelist.net/anime/16011","https://anilist.co/anime/16011","","",""
"Insomniacs After School","0/13","TV","7.87","8.2","Romance, Slice of Life","[Matched: Insomniacs After School]","https://myanimelist.net/anime/50796","https://anilist.co/anime/143653","","",""
"Kono Oto Tomare!: Sounds of Life","0/13","TV","7.86","8","Drama, Music, Romance, School, Shounen","[Matched: Kono Oto Tomare!: Sounds of Life]","https://myanimelist.net/anime/38080","https://anilist.co/anime/103302","","",""
"DECA-DENCE","0/12","TV","7.86","7.5","Action, Adventure, Sci-Fi","[Matched: Deca-Dence]","https://myanimelist.net/anime/40056","https://anilist.co/anime/110353","","",""
"Spice and Wolf II","0/12","TV","7.85","8.4","Adventure, Fantasy, Historical, Romance, Supernatural","[Matched: Spice and Wolf 2 Specials]","https://myanimelist.net/anime/6884","https://anilist.co/anime/6884","","",""
"I'm Quitting Heroing","0/12","TV","7.85","7.3","Action, Adventure, Comedy, Fantasy","[Matched: I'm Quitting Heroing]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Engaged to the Unidentified","0/12","TV","7.85","7.4","Comedy, Romance, School, Slice of Life, Yuri","[Matched: Engaged to the Unidentified]","https://myanimelist.net/anime/20541","https://anilist.co/anime/20483","","",""
"Given The Movie","0/1","Movie","7.84","8.3","Boys Love, Drama, Music, Romance, Slice of Life","[Matched: Given Movie 1]","https://myanimelist.net/anime/40421","https://anilist.co/anime/111734","","",""
"Undefeated Bahamut Chronicle","0/12","TV","7.83","6.6","Action, Ecchi, Fantasy, Harem, Mecha, Romance, School, Shounen","[Matched: Undefeated Bahamut Chronicle]","https://myanimelist.net/anime/30749","https://anilist.co/anime/21188","","",""
"PLUTO","0/8","ONA","7.83","8.7","Mystery, Sci-Fi, Suspense, Thriller","[Matched: Pluto]","https://myanimelist.net/anime/35737","https://anilist.co/anime/99088","","",""
"I'm Standing on a Million Lives","0/12","TV","7.83","6.6","Action, Drama, Fantasy, Shounen, Isekai","[Matched: I'm Standing on a Million Lives Recap]","https://myanimelist.net/anime/48976","NEEDS_LOOKUP","","",""
"The Tunnel to Summer, the Exit of Goodbyes","0/1","Movie","7.81","7.63","7.8, Romance, Sci-Fi, Seinen, Supernatural","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Suppose a Kid from the Last Dungeon Boonies moved to a starter town?","0/12","TV","7.79","6.4","Comedy, Fantasy","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Rage of Bahamut: Genesis","0/12","TV","7.79","7.7","Action, Adventure, Demons, Fantasy, Supernatural","[Matched: Rage of Bahamut: Genesis]","https://myanimelist.net/anime/21843","https://anilist.co/anime/20590","","",""
"Heaven's Lost Property","0/13","TV","7.79","7.5","Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural","[Matched: Heaven's Lost Property]","https://myanimelist.net/anime/5958","https://anilist.co/anime/5958","","",""
"Beyond the Boundary","0/12","TV","7.78","7.5","Fantasy, Slice of Life, Supernatural","[Matched: Beyond The Boundary]","https://myanimelist.net/anime/18153","https://anilist.co/anime/18153","","",""
"Ranma1/2 (2024) Season 2","0/12","TV","7.77","TBD","Comedy, Martial Arts, Romance, Slice of Life","[2024+] Upcoming","UNRELEASED","UNRELEASED","Unrated","Unrated",""
"My Mental Choices Are Completely Interfering With My School Romantic Comedy","0/10","TV","7.77","7.6","Comedy, Romance, School","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Golden Time","0/24","TV","7.76","7.6","Comedy, Drama, Romance, Seinen","[Matched: Golden Time]","https://myanimelist.net/anime/17895","https://anilist.co/anime/17895","","",""
"Charlotte","0/13","TV","7.75","7.8","Drama, School, Supernatural","[Matched: Charlotte]","https://myanimelist.net/anime/28999","https://anilist.co/anime/20997","","",""
"Farming Life in Another World","0/12","TV","7.74","7.3","Fantasy, Isekai, Slice of Life","[Matched: Farming Life in Another World]","https://myanimelist.net/anime/51462","https://anilist.co/anime/146850","","",""
"The King's Avatar","0/12","ONA","7.73","7.9","Action, Game","[Matched: The King's Avatar 4]","https://myanimelist.net/anime/62244","https://anilist.co/anime/198705","","",""
"Dusk Maiden of Amnesia","0/12","TV","7.73","7.9","Horror, Mystery, Romance, School, Shounen, Supernatural","[Matched: Dusk maiden of Amnesia]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Fruits Basket (2019)","0/25","TV","7.72","7.4","Comedy, Drama, Romance, Supernatural, Slice of Life","[Matched: Fruits Basket (2019) 2]","https://myanimelist.net/anime/40417","https://anilist.co/anime/111762","","",""
"Aesthetica of a Rogue Hero","0/12","TV","7.72","6.8","Action, Ecchi, Fantasy, School, Shounen, Supernatural","[Matched: Aesthetica of a Rogue Hero]","https://myanimelist.net/anime/13161","https://anilist.co/anime/13161","","",""
"Snow White with the Red Hair Season 2","0/12","TV","7.71","8","Drama, Fantasy, Romance, Shoujo, Slice of Life","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"The Reincarnation of the Strongest Exorcist in Another World","0/13","TV","7.7","6.5","Action, Adventure, Fantasy, Harem, Isekai, Magic","[Matched: Reincarnation no Hanabira]","https://myanimelist.net/anime/59443","https://anilist.co/anime/179950","","",""
"The Familiar of Zero: Knight of the Twin Moons","0/12","TV","7.7","7.6","Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Romance","[Matched: The Familiar of Zero 3 : The Three Princesses OVA]","https://myanimelist.net/anime/5764","https://anilist.co/anime/5764","","",""
"Engage Kiss","0/13","TV","7.69","7.2","Comedy, Romance, Supernatural","[Matched: Engage Kiss]","https://myanimelist.net/anime/51417","https://anilist.co/anime/146625","","",""
"Berserk of Gluttony","0/12","TV","7.69","6.4","Action, Adventure, Fantasy, Isekai","[Matched: Berserk of Gluttony]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"The Yakuza's Guide to Babysitting","0/12","TV","7.68","7.9","Comedy, Slice of Life","[Matched: The Yakuza's Guide to Babysitting Mini Anime]","https://myanimelist.net/anime/50930","https://anilist.co/anime/144992","","",""
"The Elusive Samurai","0/12","TV","7.68","7.9","Comedy, Shounen","[Matched: The Elusive Samurai]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"TRIGUN STAMPEDE","0/12","TV","7.68","8","Action, Adventure, Comedy, Drama, Sci-Fi, Shounen","[Matched: Trigun Stampede]","https://myanimelist.net/anime/52093","https://anilist.co/anime/151040","","",""
"TONIKAWA: Over The Moon For You Season 2","0/12","TV","7.68","8.1","Comedy, Romance","[Matched: TONIKAWA: Over The Moon For You]","https://myanimelist.net/anime/51533","https://anilist.co/anime/141212","","",""
"No Longer Allowed in Another World","0/12","TV","7.68","7.2","Adventure, Comedy, Fantasy, Isekai","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"High School Prodigies Have It Easy Even In Another World","0/12","TV","7.68","6.4","Fantasy, Isekai","","https://myanimelist.net/anime/39523/Choujin_Koukousei-tachi_wa_Isekai_demo_Yoyuu_de_Ikinuku_you_desu","https://anilist.co/anime/108388/Choujin-Koukouseitachi-wa-Isekai-demo-Yoyuu-de-Ikinuku-you-desu","6.36","6.1","6.23"
"Girls und Panzer","0/12","TV","7.68","7.6","Action, Military, School, Sports","[Matched: GIRLS und PANZER]","https://myanimelist.net/anime/14131","https://anilist.co/anime/14131","","",""
"Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells","0/12","TV","7.68","6.4","Action, Adventure, Fantasy, Harem, Isekai","[Matched: Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells Recap]","https://myanimelist.net/anime/59560","NEEDS_LOOKUP","","",""
"Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!","0/12","TV","7.67","6.6","Action, Comedy, Fantasy, Game","[Matched: Full Dive : L'ultime RPG est encore plus foireux que la réalité !]","https://myanimelist.net/anime/44276","https://anilist.co/anime/126791","","",""
"Zom 100: Bucket List of the Dead","0/12","TV","7.66","7.7","Action, Comedy, Horror, Supernatural, Survival","[Matched: Zom 100: Bucket List of the Dead Episode 7.5]","https://myanimelist.net/anime/56605","NEEDS_LOOKUP","","",""
"Stars Align","0/12","TV","7.66","7.7","Drama, School, Slice of Life, Sports, Boys Love","[Matched: Stars Align]","https://myanimelist.net/anime/37972","https://anilist.co/anime/104052","","",""
"Parallel World Pharmacy","0/12","TV","7.66","7.3","Fantasy, Isekai","[Matched: Parallel World Pharmacy]","https://myanimelist.net/anime/49438","https://anilist.co/anime/136707","","",""
"The World God Only Knows II","0/12","TV","7.65","8.1","Comedy, Harem, Romance, Shounen, Supernatural","[Matched: (The) World God Only Knows]","https://myanimelist.net/anime/8525","https://anilist.co/anime/8525","","",""
"The Quintessential Quintuplets","0/12","TV","7.65","7.7","Comedy, Harem, Romance, School, Shounen","[Matched: The Quintessential Quintuplets 2 PV]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Record of Grancrest War","0/24","TV","7.65","7.4","Action, Drama, Fantasy","[Matched: Record of Grancrest War]","https://myanimelist.net/anime/34279","https://anilist.co/anime/97768","","",""
"Pseudo Harem","0/12","TV","7.64","7.5","Romance, School, Shounen","[Matched: Pseudo Harem]","https://myanimelist.net/anime/54968","https://anilist.co/anime/163623","","",""
"KamiKatsu: Working for God in a Godless World","0/12","TV","7.64","6.4","Action, Comedy, Fantasy, Isekai","[Matched: KamiKatsu]","https://myanimelist.net/anime/51693","https://anilist.co/anime/148048","","",""
"The Troubled Life of Miss Kotoura","0/12","TV","7.63","7.3","Comedy, Drama, Romance, School","[Matched: The Troubled Life of Miss Kotoura]","https://myanimelist.net/anime/15379","https://anilist.co/anime/15379","","",""
"The Familiar of Zero: Rondo of Princesses","0/12","TV","7.62","7.5","Action, Adventure, Comedy, Ecchi, Fantasy, Romance, School","[Matched: The Familiar of Zero: ""Rondo"" of Princesses - Seductive Beach]","https://myanimelist.net/anime/5764","https://anilist.co/anime/5764","","",""
"The Familiar of Zero F","0/12","TV","7.62","7.7","Adventure, Comedy, Ecchi, Fantasy, Magic, Romance, School","[Matched: Familiar of Zero F]","https://myanimelist.net/anime/11319","https://anilist.co/anime/11319","","",""
"Sasaki and Miyano","0/12","TV","7.62","8.4","Boys Love, Slice of Life, Romance, School","[Matched: Sasaki and Miyano]","https://myanimelist.net/anime/44055","https://anilist.co/anime/126288","","",""
"Ron Kamonohashi's Forbidden Deductions Season 2","0/13","TV","7.62","TBD","Mystery, Shounen","[2024+] Upcoming","UNRELEASED","UNRELEASED","Unrated","Unrated",""
"Mushoku Tensei: Jobless Reincarnation Cour 2 - Eris the Goblin Slayer","0/1","Special","7.62","8.2","Adventure, Drama, Fantasy, Ecchi, Magic, Isekai","[Matched: Mushoku Tensei : Jobless Reincarnation - La chasse aux gobelins d’Eris]","https://myanimelist.net/anime/50360","https://anilist.co/anime/141534","","",""
"Masamune-kun's Revenge R","0/12","TV","7.62","7","Comedy, Harem, Romance, School, Shounen","[Matched: Masamune-kun's Revenge R]","https://myanimelist.net/anime/51498","https://anilist.co/anime/146953","","",""
"Blood Blockade Battlefront","0/12","TV","7.62","7.7","Action, Comedy, Fantasy, Supernatural, Vampire","[Matched: Blood Blockade Battlefront]","https://myanimelist.net/anime/24439","https://anilist.co/anime/20727","","",""
"World's End Harem","0/11","TV","7.61","6.1","Drama, Ecchi, Harem, Sci-Fi, Seinen","[Matched: World's End Harem]","https://myanimelist.net/anime/41946","NEEDS_LOOKUP","","",""
"The Kingdoms of Ruin","0/12","TV","7.61","6","Action, Adventure, Drama, Fantasy, Magic, Sci-Fi, Shounen","[Matched: The Kingdoms of Ruin]","https://myanimelist.net/anime/54362","https://anilist.co/anime/160900","","",""
"Restaurant to Another World","0/12","TV","7.6","7.4","Fantasy, Gourmet, Isekai, Slice of Life","[Matched: Restaurant to Another World]","https://myanimelist.net/anime/34012","https://anilist.co/anime/97617","","",""
"Harem in the Labyrinth of Another World","0/12","TV","7.6","6.6","Action, Adventure, Ecchi, Fantasy, Harem, Isekai","[Matched: Harem in the Labyrinth of Another World]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Brynhildr in the Darkness","0/13","TV","7.6","7","Drama, Fantasy, Mystery, Romance, Sci-Fi, Seinen","[Matched: Brynhildr in the Darkness]","https://myanimelist.net/anime/21431","https://anilist.co/anime/20534","","",""
"Tales of Zestiria the X","0/13","TV","7.59","7.4","Action, Adventure, Fantasy, Magic","[Matched: Tales of Zestiria The X]","https://myanimelist.net/anime/30911","https://anilist.co/anime/21221","","",""
"PSYCHO-PASS 3","0/8","TV","7.59","7.5","Action, Mystery, Police, Sci-Fi, Thriller","[Matched: Psycho-Pass 2]","https://myanimelist.net/anime/23281","https://anilist.co/anime/20513","","",""
"Our Dating Story: The Experienced You and The Inexperienced Me","0/12","TV","7.59","7.4","Romance, School","[Matched: Our love has always been 10 centimeters apart.]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"By the Grace of the Gods","0/12","TV","7.58","6.9","Adventure, Fantasy, Isekai, Slice of Life","[Matched: By the Grace of the Gods]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"?OSHI NO KO?Season 3","0/11","TV","7.58","TBD","Drama, Reincarnation, Supernatural, Seinen","[2024+] Upcoming 2025","UNRELEASED","UNRELEASED","Unrated","Unrated",""
"ZENSHU","0/12","TV","7.57","TBD","Romance, Slice of Life, Supernatural","[2024+] Winter 2025 [Matched: ZENSHU.]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Akebi's Sailor Uniform","0/12","TV","7.57","7.6","Slice of Life, School","[Matched: Akebi's Sailor Uniform]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Wotaku ni Koi wa Muzukashii OVA","0/3","OVA","7.56","8.1","Comedy, Romance, Slice of Life","[Matched: Wotaku ni Koi wa Muzukashii OVA]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"OniAi","0/12","TV","7.56","6.7","Comedy, Ecchi, Harem, Romance, School","[Matched: OniAi Specials]","https://myanimelist.net/anime/15881","https://anilist.co/anime/15881","","",""
"Knight's & Magic","0/13","TV","7.56","7.3","Action, Fantasy, Magic, Mecha, School","[Matched: Knight's & Magic]","https://myanimelist.net/anime/34104","https://anilist.co/anime/97663","","",""
"Grimoire of Zero","0/12","TV","7.56","7.2","Action, Adventure, Fantasy, Magic","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Ben-To","0/12","TV","7.56","7.3","Action, Comedy, Martial Arts, School","[Matched: Ben-To]","https://myanimelist.net/anime/10396","https://anilist.co/anime/10396","","",""
"Beast Tamer","0/13","TV","7.56","6","Action, Adventure, Comedy, Fantasy, Harem","[Matched: Beast Tamer]","https://myanimelist.net/anime/52046","https://anilist.co/anime/150695","","",""
"The World God Only Knows: Goddesses","0/12","TV","7.55","8.1","Comedy, Harem, Romance, Supernatural","[Matched: (The) World God Only Knows]","https://myanimelist.net/anime/8525","https://anilist.co/anime/8525","","",""
"The Pet Girl of Sakurasou","0/24","TV","7.55","7.6","Comedy, Drama, Romance, School, Slice of Life","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"The Founder of Diabolism","0/15","ONA","7.55","8.8","Action, Adventure, Boys Love, Comedy, Drama, Historical, Martial Arts, Supernatural, Xianxia","[Matched: Founder of Diabolism]","https://myanimelist.net/anime/37208","https://anilist.co/anime/101972","","",""
"The Executioner and Her Way of Life","0/12","TV","7.55","6.5","Action, Fantasy, Girls Love, Magic","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Handyman Saitou in Another World","0/12","TV","7.55","7.3","Adventure, Comedy, Fantasy, Isekai","[Matched: Handyman Saitō in Another World]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Akiba Maid War","0/12","TV","7.55","7.9","Action, Comedy, Drama","[Matched: Akiba Maid War]","https://myanimelist.net/anime/52193","https://anilist.co/anime/151379","","",""
"The Fruit of Evolution: Before I Knew It, My Life Had It Made","0/12","TV","7.53","6.59","6.7, Adventure, Comedy, Fantasy, Harem","[Matched: The Fruit of Evolution 2 Mini Anime]","https://myanimelist.net/anime/53595","https://anilist.co/anime/157287","","",""
"PSYCHO-PASS: The Movie","0/1","Movie","7.53","7.8","Action, Mystery, Police, Sci-Fi, Thriller","[Matched: Psycho-Pass Movie 1]","https://myanimelist.net/anime/21339","https://anilist.co/anime/20514","","",""
"Shomin Sample","0/12","TV","7.51","7.4","Comedy, Harem, Romance, School, Shounen","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"K: RETURN OF KINGS","0/13","TV","7.51","7.7","Action, Magic, Supernatural","[Matched: K: Return of Kings]","https://myanimelist.net/anime/27991","https://anilist.co/anime/20913","","",""
"My Instant Death Ability is Overpowered","0/12","TV","7.5","7.4","Adventure, Comedy, Fantasy, Isekai","[Matched: My Instant Death Ability Is So Overpowered]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Seirei Gensouki: Spirit Chronicles Season 2","0/12","TV","7.49","7.1","Action, Adventure, Fantasy, Harem, Isekai, Romance","[Matched: Seirei Gensouki - Spirit Chronicles]","https://myanimelist.net/anime/44203","https://anilist.co/anime/126546","","",""
"I'm the Villainess, So I'm Taming the Final Boss","0/12","TV","7.49","7.85","7.9, Comedy, Fantasy, Isekai, Romance, Shoujo, Villainess","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Dimension W","0/12","TV","7.49","6.9","Action, Sci-Fi, Seinen, Supernatural","[Matched: Dimension W]","https://myanimelist.net/anime/31163","https://anilist.co/anime/21256","","",""
"RADIANT","0/21","TV","7.48","6.9","Action, Adventure, Comedy, Fantasy, Magic, Shounen","[Matched: Radiant]","https://myanimelist.net/anime/37202","https://anilist.co/anime/101024","","",""
"Masamune-kun's Revenge","0/12","TV","7.48","7.5","Comedy, Harem, Romance, School, Shounen","[Matched: Masamune-kun's Revenge]","https://myanimelist.net/anime/33487","https://anilist.co/anime/21857","","",""
"Darker than Black: Gemini of the Meteor","0/12","TV","7.48","7.5","Action, Mystery, Sci-Fi, Supernatural","[Matched: Darker than Black: Ryuusei no Gemini]","https://myanimelist.net/anime/6573","https://anilist.co/anime/6573","","",""
"Blue Exorcist","0/25","TV","7.48","7.6","Action, Demons, Fantasy, Shounen, Supernatural","[Matched: Blue Exorcist]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Why Raeliana Ended Up at the Duke's Mansion","0/12","TV","7.47","7.5","Fantasy, Romance, Isekai","[Matched: Why We Live: The Priest Rennyo and the Yoshizaki Fire]","https://myanimelist.net/anime/33130","https://anilist.co/anime/21779","","",""
"Undead Murder Farce","0/13","TV","7.46","7.9","Fantasy, Mystery, Supernatural","[Matched: Undead Murder Farce]","https://myanimelist.net/anime/54790","https://anilist.co/anime/162983","","",""
"The Witch and the Beast","0/12","TV","7.46","7.9","Action, Adventure, Drama, Fantasy, Seinen","[Matched: The Witch and the Beast]","https://myanimelist.net/anime/52816","https://anilist.co/anime/153818","","",""
"The Qwaser of Stigmata","0/24","TV","7.46","6.5","Action, Ecchi, Seinen, Supernatural","[Matched: The Qwaser Of Stigmata II Picture Drama]","https://myanimelist.net/anime/8668","https://anilist.co/anime/8668","","",""
"Seiren","0/12","TV","7.46","6.4","Comedy, Romance, School","[Matched: Seiren]","https://myanimelist.net/anime/33836","https://anilist.co/anime/97730","","",""
"Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World","0/12","ONA","7.46","7","Action, Adventure, Fantasy","[Matched: Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Majikoi: Oh! Samurai Girls","0/12","TV","7.46","7","Action, Comedy, Martial Arts, School, Harem","[Matched: Majikoi - Oh! Samurai Girls]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Love is Like a Cocktail","0/13","TV Short","7.45","7.1","Comedy, Romance, Slice of Life","[Matched: Love Is Like a Cocktail]","https://myanimelist.net/anime/35484","https://anilist.co/anime/98657","","",""
"TONIKAWA: Over The Moon For You ~SNS~","0/1","OVA","7.44","7.9","Comedy, Romance, Slice of Life","[Matched: TONIKAWA: Over The Moon For You]","https://myanimelist.net/anime/51533","https://anilist.co/anime/141212","","",""
"A Galaxy Next Door","0/12","TV","7.44","7.5","Romance, Slice of Life, Supernatural","[Matched: A Galaxy Next Door]","https://myanimelist.net/anime/51705","https://anilist.co/anime/148098","","",""
"When Will Ayumu Make His Move?","0/12","TV","7.42","7.3","Comedy, Romance, School, Slice of Life, Shounen","[Matched: When the Promised Slight Fever]","https://myanimelist.net/anime/9507","NEEDS_LOOKUP","","",""
"Peach Boy Riverside","0/12","TV","7.42","6.8","Fantasy, Horror, Mystery, Shounen","[Matched: Peach Boy Riverside]","https://myanimelist.net/anime/42627","https://anilist.co/anime/122441","","",""
"Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout","0/12","TV","7.42","7.1","Adventure, Comedy, Fantasy, Isekai, Romance","[Matched: Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Date A Live","0/12","TV","7.42","7.4","Comedy, Harem, Mecha, Romance, School, Sci-Fi","[Matched: Date A Live]","https://myanimelist.net/anime/15583","https://anilist.co/anime/15583","","",""
"TRIGUN STARGAZE","0/12","TV","7.41","TBD","Action, Sci-Fi, Shounen","[2024+] Upcoming 2026?","UNRELEASED","UNRELEASED","Unrated","Unrated",""
"UQ Holder!","0/12","TV","7.4","7.2","Action, Fantasy, Magic, Sci-Fi, Shounen, Supernatural","[Matched: UQ Holder!]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"The Legend of the Legendary Heroes","0/24","TV","7.4","7.6","Action, Adventure, Fantasy, Magic","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Rurouni Kenshin (2023)","0/24","TV","7.4","7.7","Action, Comedy, Drama, Historical, Romance, Samurai","[Matched: Rurouni Kenshin (2023) Season 2]","https://myanimelist.net/anime/57554","https://anilist.co/anime/171637","","",""
"Chillin' in My 30s after Getting Fired from the Demon King's Army","0/12","TV","7.4","7.3","Fantasy, Slice of Life","[Matched: Chillin' in My 30s After Getting Fired from the Demon King's Army]","https://myanimelist.net/anime/52446","https://anilist.co/anime/152523","","",""
"Seitokai Yakuindomo Season 2","0/13","TV","7.39","7.7","Comedy, School, Shounen, Slice of Life","[Matched: Seitokai Yakuindomo]","https://myanimelist.net/anime/8675","https://anilist.co/anime/8675","","",""
"Infinite Dendrogram","0/13","TV","7.39","6.5","Action, Fantasy, Game, Sci-Fi","[Matched: Infinite Dendrogram]","https://myanimelist.net/anime/38909","https://anilist.co/anime/107420","","",""
"Ron Kamonohashi's Forbidden Deductions","0/13","TV","7.38","7.5","Mystery, Shounen","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Kingdom","0/38","TV","7.38","8","Action, Historical, Military, Seinen, War","[Matched: Kingdom]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Hitori no Shita - The Outcast","0/12","TV","7.38","6.6","Action, Supernatural","[Matched: Hitori no Shita: The Outcast 6]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"K: MISSING KINGS","0/1","Movie","7.37","7.7","Action, Magic, Supernatural","[Matched: K: Missing Kings]","https://myanimelist.net/anime/16904","https://anilist.co/anime/16904","","",""
"Honey Lemon Soda","0/12","TV","7.37","7.5","Romance, School, Shoujo","[Matched: Honey Lemon Soda]","https://myanimelist.net/anime/58271","https://anilist.co/anime/175443","","",""
"Can a Boy-Girl Friendship Survive?","0/12","TV","7.37","7.4","Comedy, Romance","[Matched: Can a Boy-Girl Friendship Survive?]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Magical Warfare","0/12","TV","7.36","6.1","Action, Fantasy, Magic","[Matched: Magical Warfare]","https://myanimelist.net/anime/19769","https://anilist.co/anime/19769","","",""
"Love Lab","0/13","TV","7.36","7.5","Comedy, Romance, School, Slice of Life","[Matched: Love Lab]","https://myanimelist.net/anime/16353","https://anilist.co/anime/16353","","",""
"You are Ms. Servant","0/12","TV","7.35","7.4","Comedy, Romance","[Matched: You Are Ms. Servant]","https://myanimelist.net/anime/57611","https://anilist.co/anime/172190","","",""
"The Foolish Angel Dances with the Devil","0/12","TV","7.35","7.2","Comedy, Fantasy, Romance, Supernatural","[Matched: The Foolish Angel Dances with the Devil]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Heaven's Lost Property: Forte","0/12","TV","7.34","7.7","Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural","[Matched: Heaven's Lost Property Forte]","https://myanimelist.net/anime/8407","https://anilist.co/anime/8407","","",""
"SSSS.DYNAZENON","0/12","TV","7.33","7.6","Action, Mecha, Sci-Fi","[Matched: SSSS.Dynazenon]","https://myanimelist.net/anime/40870","https://anilist.co/anime/113950","","",""
"Kakuriyo -Bed & Breakfast for Spirits-","0/26","TV","7.33","7.6","Demons, Fantasy, Slice of Life, Supernatural","[Matched: Kakuriyo -Bed & Breakfast for Spirits-]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"I've Somehow Gotten Stronger When I Improved My Farm-Related Skills","0/12","TV","7.33","6.7","Action, Adventure, Comedy, Fantasy","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Tawawa on Monday","0/12","ONA","7.32","7.1","Comedy, Romance, Slice of Life","[Matched: Tawawa on Monday]","https://myanimelist.net/anime/34213","https://anilist.co/anime/97716","","",""
"Kabaneri of the Iron Fortress: The Battle of Unato","0/1","Movie","7.32","7.8","Action, Drama, Fantasy, Horror, Supernatural","[Matched: Kabaneri da Fortaleza de Ferro: A Batalha de Unato]","https://myanimelist.net/anime/34544","https://anilist.co/anime/97918","","",""
"I Have a Crush at Work","0/12","TV","7.32","7.4","Romance, Slice of Life, Adult Cast","[Matched: I Have a Crush at Work]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Granblue Fantasy: The Animation","0/13","TV","7.32","6.7","Adventure, Fantasy","[Matched: GRANBLUE FANTASY: The Animation]","https://myanimelist.net/anime/31629","https://anilist.co/anime/21361","","",""
"The Ones Within","0/12","TV","7.31","7","Game, Mystery, Psychological","[Matched: The Ones Within]","https://myanimelist.net/anime/37926","https://anilist.co/anime/102926","","",""
"My Tiny Senpai","0/12","TV","7.31","7.5","Comedy, Romance, Slice of Life","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Medaka Kuroiwa is Impervious to My Charms","0/12","TV","7.31","7.4","Comedy, Romance, School","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Kubikiri Cycle: The Blue Savant and the Nonsense User","0/8","OVA","7.3","8","Mystery, Supernatural","[Matched: Kubikiri Cycle: Aoiro Savant to Zaregotozukai]","https://myanimelist.net/anime/33263","https://anilist.co/anime/21803","","",""
